Input statement,Produced output,Label
You dislike the fact that your health is slowly deteriorating after each cigarette.,"""It seems like you might have some concerns about how smoking could be affecting your health over time.""",1
You were in a lot of pain.,"""It seems like you may have been experiencing quite a bit of discomfort.""",1
You enjoy the calming effect nicotine gives you.,"""It seems that you might find some soothing qualities in nicotine.""",1
You use amphetamines too often.,"""It seems that there may be times when you find yourself using amphetamines more frequently than you'd like. How do you feel about that?""",1
You dislike how cigarette smoke smells.,"""It seems that the smell of cigarette smoke might not be your favorite.""",1
"""You're here to talk about your gambling, is that right?""","""It seems like you might want to explore your thoughts or feelings around gambling. Would that be what you’re considering discussing?""",1
You realize that by making this change you will have a big impact on your life and you are looking forward to how it will look.,"""It seems that this change could potentially bring a meaningful shift in your life, and it might be interesting to explore what that could look like for you.""",1
You are concerned with the costs of smoking.,"""It seems that you might have some thoughts about the potential costs associated with smoking.""",1
"""You believe that by making changes to your smoking habit, you can improve your health.""","""It seems that making some adjustments to your smoking habit might have the potential to enhance your health.""",1
You realize that quitting smoking is important for your health and would like to make this happen without relying on cigarettes.,"""It seems that you might see the benefits of quitting smoking for your health, and perhaps you're considering the possibility of finding ways to achieve that without depending on cigarettes.""",1
You enjoy smoking because it helps you cope with stressful situations.,"""It seems that you might find some comfort in smoking during stressful situations.""",1
"""You got mad at the way you were being treated, and so decided not to interact further.""","""It seems that you might have felt frustrated with how things were unfolding, which could have led you to consider stepping back from further interaction.""",1
It would be a good idea for you to go through detoxification.,"""Have you considered the possibility of exploring detoxification as a helpful step? It might be worth thinking about.""",1
You realize that cigarettes can potentially cause financial stress and you wish you could spend less on tobacco.,"""It might be worth reflecting on how spending on cigarettes could be affecting your finances, and perhaps considering if there are other ways you might prefer to use that money.""",1
You dislike the health risks of smoking.,"""It seems that there may be some concerns you have about the health risks associated with smoking.""",1
Quitting smoking will require you to find a way to distract yourself from the craving for cigarettes.,"""It might be helpful to explore some strategies for managing cravings, such as finding activities that could serve as a distraction when you feel the urge to smoke.""",1
It reminds you of your heart attack.,"""It seems like that situation might bring to mind some past experiences related to your heart health.""",1
Setting long-term plans for your smoking habit would help you quit.,"""Exploring the idea of setting long-term plans for your smoking habit might be a helpful approach to consider if you're thinking about making changes.""",1
"""You realize that if you stop smoking, you can reduce the strain on your body. ""","""It might be worth considering that reducing or stopping smoking could potentially ease some of the strain on your body.""",1
Social interaction makes you afraid.,"""It seems that social interactions might sometimes bring up feelings of apprehension for you.""",1
You value productivity and would like to increase it by smoking less.,"It seems that you might appreciate finding ways to enhance your productivity, and perhaps exploring strategies to reduce smoking could be something to consider in that journey.",1
It is time to create a plan to stop drinking.,"""Perhaps it could be helpful to explore some options for reducing your drinking.""",1
You want to establish a daily routine so you can smoke at your ease.,"""It might be interesting to explore the idea of creating a daily routine that allows for some moments where you could enjoy smoking more comfortably.""",1
"""If you set long-term plans for your smoking habit, you will be more likely to succeed.""","""Some people find that considering long-term plans for their smoking habits might be helpful in their journey towards change.""",1
You're don't want to break up with your partner because you're you won't find someone else.,"""It seems like you might have some concerns about the possibility of finding someone else if you were to break up with your partner.""",1
You're finding that you drink a lot when you're alone.,"""It seems like you might be noticing a tendency to drink more when you're by yourself.""",1
You don't like thinking about smoking because you're afraid to die.,"""It seems that thinking about smoking might bring up some concerns about health and the future for you. How do you feel about that?""",1
You dislike that others know that you smoke.,"""It seems that you might feel uncomfortable with the idea of others being aware of your smoking.""",1
You want to stop smoking cigars altogether.,"""It seems like you might be considering the possibility of stopping smoking cigars altogether.""",1
You seem low-energy.,"""I've noticed you might be feeling a bit more low-energy lately. How have you been feeling about that?""",1
